symbol,time_utc,price,ret5_pct,range_pct,body_pct,close_pos,quote_volume_5m,volume24_usd,rvol,vol_accel_1h,range12_pct,trades,trades_accel,taker_buy_share,mfe_30m_pct,mae_30m_pct,mfe_1h_pct,mae_1h_pct,mfe_2h_pct,mae_2h_pct,mfe_4h_pct,mae_4h_pct,label
FIDAUSDT,2026-05-17 17:15:00+00:00,0.01666,8.763505402160865,11.959134615384626,73.36683417085416,0.7437185929648243,920655.02356,1955795.03211,588.3623204294078,37.82606335497122,3.5582822085889587,10662,28.82270781707592,0.5343161208395243,21.66866746698679,2.521008403361336,22.62905162064825,2.521008403361336,24.48979591836736,2.521008403361336,24.48979591836736,2.521008403361336,REAL_CONTINUATION
ONUSDT,2026-05-01 07:00:00+00:00,0.11177,6.701261519191215,7.36794986571172,91.00850546780084,0.9185905224787376,226012.69366,1555836.26419,87.24395351186011,81.60632913683979,4.707482993197276,3606,24.868965517241374,0.6029157661604236,10.467925203542984,3.739822850496566,23.602039903373,3.739822850496566,24.487787420595875,3.739822850496566,28.433389997315928,3.739822850496566,REAL_CONTINUATION
DODOXUSDT,2026-04-01 13:40:00+00:00,0.015549,9.743391857997285,13.760517799352767,71.26058325493877,0.7591721542803378,384984.351616,1955446.441051,238.6518747875621,39.13746871899448,12.81164432915405,6536,25.614630960156763,0.6126913585887083,24.33597015885265,9.158145218341996,24.33597015885265,0.9711235449225032,24.33597015885265,-3.511479837931697,24.33597015885265,-3.511479837931697,REAL_CONTINUATION
FLUIDUSDT,2026-08-26 03:30:00+00:00,1.318,12.291350531107724,13.460076045627378,91.5254237288135,0.9322033898305084,392889.1497,1240445.5765,283.7865873872122,325.2391738680337,5.369649805447474,3915,105.8108108108108,0.5641853471119159,21.32018209408193,10.394537177541729,21.851289833080425,10.394537177541729,24.05159332321698,10.394537177541729,24.05159332321698,10.394537177541729,REAL_CONTINUATION
LISTAUSDT,2026-07-22 15:05:00+00:00,0.0519,11.560693641618492,12.804642166344273,90.63444108761335,0.9365558912386712,930066.34905,1889218.8343,893.9280000437128,35.61668745916179,10.894859318806848,10025,27.509718728561623,0.5048115699160292,21.96531791907512,9.614643545279389,21.96531791907512,3.506743737957607,21.96531791907512,-3.448940269749523,21.96531791907512,-5.7225433526011615,REAL_CONTINUATION
AINUSDT,2026-04-11 14:20:00+00:00,0.06158,15.1835011367327,15.434606011372876,98.42105263157896,0.987368421052632,329797.02198,1168195.33148,326.8645274541378,56.06196134296048,6.786941580756012,5355,31.57739557739557,0.6179357629929074,21.33809678467033,3.296524845729132,21.33809678467033,3.296524845729132,21.33809678467033,3.296524845729132,21.33809678467033,3.296524845729132,REAL_CONTINUATION
B2USDT,2026-08-26 06:10:00+00:00,0.4154,5.103514684641319,6.268081002892956,81.53846153846145,0.8384615384615371,234306.9705,1482590.3607,128.0274101098648,25.72069918471516,9.22470433639948,3692,18.9901414487784,0.6296623761775795,20.365912373615803,5.151661049590772,20.365912373615803,5.151661049590772,20.365912373615803,4.092441020702942,20.365912373615803,2.3110255175734284,REAL_CONTINUATION
FWDIUSDT,2026-07-21 20:10:00+00:00,4.403,12.355212355212377,12.786736316148106,96.62522202486676,0.9662522202486676,48847.69635,637585.4165399999,70.8717535959753,21.60852888557729,6.327602674307564,932,27.75186104218362,0.696614588663197,20.349761526232136,12.264365205541685,20.349761526232136,12.264365205541685,20.349761526232136,-1.794231205995911,20.349761526232136,-1.794231205995911,REAL_CONTINUATION
BUSDT,2026-05-01 05:00:00+00:00,0.1316,6.306990881458963,7.598784194528885,82.99999999999994,0.8299999999999994,408010.514,1662603.7773000002,184.75749381197213,30.52430410644353,4.72813238770684,3762,18.13740458015268,0.5012755867364732,14.589665653495445,5.85106382978724,14.893617021276606,5.243161094224935,20.06079027355623,5.243161094224935,77.43161094224926,5.243161094224935,REAL_CONTINUATION
GTCUSDT,2026-05-09 14:10:00+00:00,0.09536,5.002097315436238,5.49496644295302,91.03053435114506,0.9103053435114506,209224.848522,1710494.1947463,71.82060539497273,67.81327527646899,10.79787234042553,2669,21.9821551132464,0.5591650248020057,10.33976510067114,3.617869127516782,18.86535234899329,3.617869127516782,18.86535234899329,2.3489932885906173,18.86535234899329,2.3489932885906173,FAILED_OR_PARTIAL
